Abbreviation,Name,Division,Conference
ATL,Atlanta Hawks,Southeast,Eastern
BRK,Brooklyn Nets,Atlantic,Eastern
BKN,Brooklyn Nets,Atlantic,Eastern
BOS,Boston Celtics,Atlantic,Eastern
CHA,Charlotte Bobcats,Southeast,Eastern
CHH,Charlotte Hornets,Southeast,Eastern
CHO,Charlotte Hornets,Southeast,Eastern
CHI,Chicago Bulls,Central,Eastern
CLE,Cleveland Cavaliers,Central,Eastern
DAL,Dallas Mavericks,Southwest,Western
DEN,Denver Nuggets,Northwest,Western
DET,Detroit Pistons,Central,Eastern
GSW,Golden State Warriors,Pacific,Western
HOU,Houston Rockets,Southwest,Western
IND,Indiana Pacers,Central,Eastern
LAC,Los Angeles Clippers,Pacific,Western
LAL,Los Angeles Lakers,Pacific,Western
MEM,Memphis Grizzlies,Southwest,Western
MIA,Miami Heat,Southeast,Eastern
MIL,Milwaukee Bucks,Central,Eastern
MIN,Minnesota Timberwolves,Northwest,Western
NJN,New Jersey Nets,Atlantic,Eastern
NOH,New Orleans Hornets,Southwest,Western
NOP,New Orleans Pelicans,Southwest,Western
NOK,New Orleans/Oklahoma City Hornets,Southwest,Western
NYK,New York Knicks,Atlantic,Eastern
OKC,Oklahoma City Thunder,Northwest,Western
ORL,Orlando Magic,Southeast,Eastern
PHI,Philadelphia 76ers,Atlantic,Eastern
PHX,Phoenix Suns,Pacific,Western
PHO,Phoenix Suns,Pacific,Western
POR,Portland Trail Blazers,Northwest,Western
SEA,Seattle SuperSonics,Northwest,Western
SAC,Sacramento Kings,Pacific,Western
SAS,San Antonio Spurs,Southwest,Western
TOR,Toronto Raptors,Atlantic,Eastern
UTA,Utah Jazz,Northwest,Western
VAN,Vancouver Grizzlies,Southwest,Western
WAS,Washington Wizards,Southeast,Eastern
WSB,Washington Bullets,Southeast,Eastern
